"","x"
"1",0.607612732604649
"2",1.93641218278588
"3",1.08089227271458
"4",0.365933363638378
"5",1.5156816570327
"6",1.46785623137781
"7",2.17527265366076
"8",1.48174384961454
"9",2.15013292277016
"10",1.11831746061815
"11",0.79740371197866
"12",0.941149640368184
"13",1.96640287864891
"14",0.53020994575573
"15",2.15900524802144
"16",1.88789682824892
"17",0.965214531270566
"18",0.357670528322124
"19",0.870923867895488
"20",1.09506080258246
"21",0.841101839638168
"22",1.00033010454574
"23",0.465314328379883
"24",4.84471146256113
"25",0.408418954482265
"26",2.75117850350638
"27",1.25061528084593
"28",2.02473827108497
"29",0.799179548572547
"30",1.51037849147596
"31",0.594054010285208
"32",3.85809950249874
"33",3.37938502106366
"34",8.01503100935419
"35",1.44480521103238
"36",3.34995427308299
"37",1.29714427429423
"38",0.662960921481107
"39",0.68072033172487
"40",2.94742331621425
"41",2.481686755022
"42",1.08597194414481
"43",2.79113572767204
"44",1.67518732327033
"45",5.10766105633973
"46",1.44251836560105
"47",2.94415188339087
"48",1.1425501609353
"49",2.42818071160503
"50",1.87674001046373
"51",1.13950788109483
"52",1.79590133503275
"53",0.488724006974951
"54",1.43481185541794
"55",1.91710969918652
"56",0.84804826961879
"57",1.953499329528
"58",2.314464440349
"59",2.38097372402217
"60",6.31571467990635
"61",2.67262179847754
"62",3.61912691570153
"63",1.0939331569933
"64",2.51110507957738
"65",2.47756805186224
"66",0.608607191137726
"67",0.577838605237965
"68",1.46795285349953
"69",2.24707976349177
"70",2.02922303959514
"71",3.74119236248852
"72",5.89016877301679
"73",1.13048477141507
"74",0.511369556027855
"75",9.71551130404304
"76",1.92978781847708
"77",3.03629629185662
"78",1.79733520208105
"79",2.74249482105421
"80",0.74141465977931
"81",5.61375581325095
"82",3.32133655834826
"83",2.13234872417582
"84",1.41227237797
"85",4.43575147552652
"86",1.18754291226172
"87",1.12793211562715
"88",1.29543711726995
"89",1.1052648611068
"90",2.24139559817495
"91",1.04271945946672
"92",1.92399938347566
"93",0.857393017127047
"94",4.44577334490302
"95",1.80530427842384
"96",0.840310067922499
"97",5.33009058032272
"98",4.68113611080462
"99",0.849801035701486
"100",0.749799864341703
"101",0.571246062557513
"102",0.528073355356067
"103",3.22536637138367
"104",2.82801779452987
"105",1.45836906182255
"106",1.31810249646773
"107",2.151468788022
"108",4.15337072130598
"109",4.0036382927225
"110",0.726113147372224
"111",1.06363064483968
"112",1.19277735816133
"113",3.6170922288776
"114",1.02919623221748
"115",3.70612619755111
"116",4.56604272145363
"117",1.78918480406056
"118",5.72408639001022
"119",5.36156383784955
"120",4.96838884345731
"121",0.892431394446158
"122",4.49151629487427
"123",3.11222310671485
"124",0.714517173998741
"125",2.60931325839946
"126",1.68204085052179
"127",0.624011086918317
"128",3.49280148172927
"129",0.453593217526177
"130",1.18843404670536
"131",2.34720449211759
"132",5.59046179822326
"133",1.93355182095166
"134",0.466280664255432
"135",1.44040464910861
"136",2.13608075371662
"137",2.18925686284364
"138",1.47071523774227
"139",2.85477336748419
"140",1.37434513192654
"141",1.2503861442921
"142",1.11068559517537
"143",1.34898468162026
"144",4.56931237408045
"145",2.05772975023995
"146",1.25547426429568
"147",2.24809850036318
"148",0.888924057957595
"149",0.529657244295639
"150",1.23345872554935
"151",1.82180028234869
"152",1.2788603535414
"153",0.802172999185929
"154",1.39294866248893
"155",1.92546439179724
"156",0.956216137738653
"157",0.816999910470688
"158",1.46747159774714
"159",0.994337390211346
"160",1.88929902234781
"161",1.1585477261165
"162",2.52289578369364
"163",1.06666944509644
"164",3.61396408649285
"165",1.00999986600116
"166",0.927618602393104
"167",2.45580759935725
"168",1.13608049083297
"169",0.533326867449279
"170",2.10840845825578
"171",3.43770345530758
"172",1.90441300806177
"173",2.33130004458688
"174",3.94159898115191
"175",0.393840511782131
"176",0.591476073995376
"177",4.18252195013149
"178",0.548013601845725
"179",6.12222136345226
"180",0.349609275661134
"181",0.742834775043072
"182",1.27089523966803
"183",0.723800876365926
"184",0.66912575540374
"185",5.41370269134914
"186",2.86671059953509
"187",1.80030579589711
"188",5.46842302716703
"189",2.83371281190992
"190",2.20296034287697
"191",2.31603453515342
"192",1.5796749583959
"193",3.19351266229219
"194",0.613728603963636
"195",2.91474792383951
"196",0.779765916861965
"197",2.71355913633632
"198",1.26875901923646
"199",2.73339121319503
"200",3.61796154374065
"201",4.04986480170803
"202",2.33007835806285
"203",0.773962562142985
"204",3.47349585004769
"205",1.69662545082547
"206",2.02984765767958
"207",3.29278317463993
"208",2.53615527807799
"209",0.657657733839231
"210",0.425565432689233
"211",1.99975382939182
"212",2.33354612959793
"213",3.89273473779565
"214",2.59058737026012
"215",1.04657168691489
"216",3.48777386352338
"217",2.00049900446619
"218",2.7231023951441
"219",0.45943738570976
"220",1.51342747513306
"221",0.776433749791947
"222",10.5785364273897
"223",0.869167693881451
"224",1.37066043483992
"225",1.78588572029068
"226",1.43934558588613
"227",1.25414015800728
"228",1.58667608916436
"229",2.56656556202834
"230",2.42413783108059
"231",0.936246814713267
"232",1.41235627608438
"233",1.24769975921678
"234",4.35965254501842
"235",2.42703045878355
"236",0.549311370755734
"237",2.18184396032418
"238",4.2664749137972
"239",3.35690704052097
"240",0.447945286636931
"241",8.49810135188018
"242",1.97095163487895
"243",3.3691117603892
"244",1.63945518242738
"245",2.62715295560357
"246",2.13329023963595
"247",0.584061171842966
"248",2.18520254982151
"249",0.362091361530552
"250",1.88813847497026
"251",1.87192565633678
"252",3.06865502945191
"253",1.39488902255842
"254",2.56418833623651
"255",3.18672772183058
"256",1.20782776062889
"257",1.5257673376697
"258",2.7694448242777
"259",3.91845473801751
"260",1.45127084255369
"261",2.74693244473005
"262",2.54799557623066
"263",3.54819988725293
"264",2.98250347904316
"265",5.55142661316227
"266",1.26535618039666
"267",18.6608964104014
"268",1.64019441132543
"269",1.37318127364037
"270",5.27420323105812
"271",3.3195908684098
"272",4.31384562989443
"273",3.13528493849403
"274",3.4380832830049
"275",3.96856709462597
"276",1.0506199661245
"277",3.02989309298963
"278",0.374054183759451
"279",0.821667382080499
"280",1.95131036137987
"281",1.26899990551245
"282",0.799206006274032
"283",1.12501304674811
"284",0.699781682960362
"285",0.503559379822835
"286",1.44133628661955
"287",3.91793619153552
"288",1.11194048956687
"289",0.942311190157791
"290",0.489607581714178
"291",0.800746566238502
"292",0.699124372685706
"293",1.06670598541572
"294",0.585048009583945
"295",2.69470464839771
"296",2.30657397972861
"297",4.64113898620534
"298",2.07583028755102
"299",3.04617388424901
"300",1.93570405802084
"301",6.24234548603806
"302",1.41126493172389
"303",3.04489092304382
"304",0.597845059043061
"305",5.08006005712561
"306",1.02275174556455
"307",0.971134301349703
"308",0.750060938652978
"309",0.880092014653555
"310",1.08039086307794
"311",1.45197027391775
"312",1.27441733016171
"313",1.6206275442843
"314",1.26920508280992
"315",0.910037625054357
"316",1.26960865066908
"317",1.571509316892
"318",0.87342695791525
"319",1.11548166761111
"320",0.949399251979571
"321",0.801307225188011
"322",0.546759932300475
"323",2.54958078808918
"324",3.22065977033396
"325",3.6816783349022
"326",1.86044299744646
"327",2.27454662139192
"328",3.54293747583353
"329",2.48894012866172
"330",2.25367049666825
"331",0.454370100983333
"332",1.21763644677966
"333",1.12115119916649
"334",2.05112700278425
"335",0.614930866950978
"336",1.56922681712101
"337",1.59479453158974
"338",3.59535798095421
"339",0.604557632446587
"340",5.36433990009019
"341",1.85859684340217
"342",1.12021776908975
"343",1.32523141347509
"344",3.18798949388824
"345",2.22184337117676
"346",1.86155158512445
"347",0.708924337412208
"348",0.931650231427365
"349",0.424753915578394
"350",1.99242213419809
"351",3.90122025996728
"352",2.75861504569347
"353",3.13109696501427
"354",0.851493446771841
"355",3.89617449634866
"356",0.499641198997787
"357",0.450279516033119
"358",3.46976937247898
"359",0.719535603607272
"360",1.04377491728283
"361",1.81624700313407
"362",2.36732208258964
"363",0.588795448180888
"364",4.08301086841934
"365",2.47422468039247
"366",0.799842099554735
"367",3.79387756354733
"368",0.616037858753577
"369",3.26657661012612
"370",1.62258889622517
"371",4.1901824208016
"372",2.10028331690661
"373",0.776163612755809
"374",2.38369097558397
"375",1.42710785696181
"376",2.45522280143488
"377",1.33975955177279
"378",0.751869525549433
"379",1.71081051128725
"380",0.820418779209609
"381",1.20265964055012
"382",0.72540614722185
"383",1.65637468987358
"384",5.91169736984814
"385",0.728368419968181
"386",1.99212991257062
"387",1.61801539529652
"388",2.48716875401533
"389",4.90584737184568
"390",1.40855751074459
"391",1.43994132907905
"392",0.503647923466172
"393",10.1319708112214
"394",1.23350287774202
"395",13.2531558584942
"396",0.723827422227473
"397",1.5588841282146
"398",1.53975050741055
"399",0.800098973342978
"400",5.07710680712188
"401",1.05032728021161
"402",1.34395488622667
"403",1.29834720850539
"404",1.94867277702319
"405",1.03305798821631
"406",4.19914834716318
"407",4.61997904582203
"408",1.99951616859759
"409",1.86455949262248
"410",4.89869273703627
"411",1.9006291491258
"412",0.5265816850735
"413",0.663227483536996
"414",2.00226829055419
"415",0.502055704634141
"416",1.97857713467659
"417",1.15510788482484
"418",1.4678599998892
"419",1.44862710559583
"420",1.13828551205165
"421",0.658317686036016
"422",1.19788522257683
"423",0.539395609244439
"424",0.507681138371761
"425",2.61064128760131
"426",4.33467312679822
"427",2.11295638885417
"428",1.35075766276211
"429",2.16735675729159
"430",3.11657181053372
"431",1.44689218998598
"432",0.942908438595941
"433",2.90322951081918
"434",2.060563907065
"435",3.08717199937894
"436",1.43511822609112
"437",1.03561549316181
"438",3.44742568441963
"439",1.23518210733445
"440",3.68032356159117
"441",0.706323416188471
"442",3.84562914797136
"443",0.720692717712646
"444",1.04462325247374
"445",2.97601771781264
"446",2.0673568302949
"447",5.67712050048937
"448",10.8815094674629
"449",1.53304323861891
"450",2.54646288825224
"451",2.52489753532139
"452",3.29549504419708
"453",1.13657389037015
"454",2.46170872495
"455",12.160931941724
"456",1.48519471794762
"457",1.09637557912817
"458",0.981425340628559
"459",3.42210309905532
"460",2.46595067923091
"461",4.68471027382289
"462",1.56002559081472
"463",0.792386770292316
"464",3.42586031570982
"465",1.2206507112761
"466",3.2410072126951
"467",0.721497271154313
"468",1.93748549505513
"469",2.02234677767915
"470",5.58316254381781
"471",0.642800890339137
"472",0.666320260611879
"473",0.474386779024492
"474",0.848765725443299
"475",1.27234736237126
"476",2.80663716782133
"477",3.45782665152875
"478",1.2912403855332
"479",3.69878467557649
"480",1.69897459837243
"481",0.52192734975616
"482",0.947970560055046
"483",1.60657480488777
"484",0.557998184360399
"485",2.77784498686784
"486",4.25136953572509
"487",4.99020872881104
"488",1.00801178920773
"489",2.86708661305114
"490",1.80505336543472
"491",1.03699435253076
"492",5.6390058082462
"493",4.46840161691688
"494",0.75222183591166
"495",7.92787133576053
"496",2.7737045723178
"497",2.39661214606287
"498",1.04340431147082
"499",4.45458718973817
"500",3.54216817278065
"501",1.15385427310014
"502",3.43550528726319
"503",1.7359280977518
"504",2.67658157789233
"505",1.0173702685329
"506",0.912207935647909
"507",1.12326047421687
"508",2.85081930410063
"509",1.12679558421059
"510",1.93360426579489
"511",2.74591318221689
"512",0.991987724423807
"513",1.3756984159284
"514",0.536354031487475
"515",0.950627094028554
"516",1.38651354291202
"517",1.08323227446648
"518",0.530160400250833
"519",0.960682849064266
"520",1.83905009235476
"521",1.46109417030737
"522",3.02840632506457
"523",1.30669112827798
"524",1.4762972128008
"525",2.55209187108106
"526",12.7686221612205
"527",1.43273726542511
"528",1.89924700482703
"529",4.63491327202739
"530",1.7489761996841
"531",4.58392056815769
"532",3.45506119955852
"533",1.06155104611412
"534",0.600066357505326
"535",1.24522721315573
"536",2.14720797789653
"537",6.5090131064449
"538",1.23372179674303
"539",1.21155250946538
"540",1.46870056050896
"541",2.72000655254071
"542",1.16224920203244
"543",0.32271288816383
"544",3.53667201778133
"545",2.47298421299505
"546",0.749724940362066
"547",4.8393972134301
"548",2.76538354398547
"549",1.10314305936732
"550",3.15416792097193
"551",3.13577722283102
"552",3.45466182413735
"553",0.953453084341383
"554",2.74086194027704
"555",1.01740300552397
"556",0.655931826026365
"557",2.31252774425266
"558",2.07554060168372
"559",1.59450680507963
"560",2.44399821654286
"561",0.585167129676811
"562",1.22521270137112
"563",1.6847881830554
"564",1.5526474805093
"565",1.34129920874719
"566",0.927309105293391
"567",4.49658407461055
"568",0.790079787079746
"569",3.61513930341776
"570",1.54351062480862
"571",2.29091211199702
"572",2.32787403312146
"573",1.90269336132686
"574",1.35273280268164
"575",7.16530389989437
"576",1.4153470609286
"577",6.58220385899532
"578",2.81207936905749
"579",2.49520757956308
"580",1.33991806222498
"581",1.59396098762107
"582",0.734497626655397
"583",1.21912644750983
"584",4.45874946649114
"585",3.36055883985554
"586",3.92899995944608
"587",2.11533826180324
"588",1.63028389629813
"589",0.680282135456838
"590",1.57860264586949
"591",0.854349603113651
"592",2.03466370798368
"593",0.756984276055873
"594",2.65463388290035
"595",1.77113737378337
"596",1.01133862579296
"597",0.952009153058925
"598",2.73084142118595
"599",1.30043388006189
"600",1.57174039096909
"601",0.481954505676058
"602",1.99665202062868
"603",0.730780277246823
"604",0.46862076085146
"605",1.07692129320213
"606",2.40804757759127
"607",3.82244509511272
"608",1.10793772803398
"609",1.23069730211215
"610",0.934310409662565
"611",3.54089794988389
"612",2.23396612729596
"613",2.07858102545496
"614",1.22908132214026
"615",0.582288716914293
"616",2.74146856292766
"617",2.74299121802371
"618",1.09802805650586
"619",1.76405154292358
"620",5.44621682976782
"621",0.69512881407906
"622",1.11634024735982
"623",3.21581736513042
"624",2.11945290081189
"625",2.15999183394606
"626",4.62439276006466
"627",0.552102605701442
"628",2.43811526654469
"629",1.80063677224452
"630",2.38793388726028
"631",2.01824784805497
"632",2.42217401205524
"633",5.89733710524708
"634",1.90951907575976
"635",6.38218533212127
"636",3.93271455986917
"637",1.42100297288941
"638",2.59404186898773
"639",0.569132883364779
"640",0.798213826030274
"641",8.66091058605608
"642",2.06567392373317
"643",0.688939415516435
"644",1.70278723673493
"645",6.08852941270936
"646",3.0418645283689
"647",4.48782688274606
"648",5.72323676577231
"649",2.41251556002524
"650",0.976917729294324
"651",1.12034166198969
"652",1.12547645243841
"653",0.686245854914512
"654",6.46270677200188
"655",2.73841721210171
"656",0.974405079987705
"657",3.44432716511007
"658",0.580629333690701
"659",0.417529990323417
"660",1.12392537980253
"661",2.46466361200899
"662",1.12522845154354
"663",1.49255301915183
"664",0.799519304899609
"665",0.410641285929262
"666",4.63574118009761
"667",2.48713280373645
"668",8.43710230614094
"669",3.29329490224309
"670",1.80003301453753
"671",1.23269548504973
"672",0.655048256103394
"673",2.51917626119632
"674",2.7531681497365
"675",0.494521801881228
"676",2.94302739886391
"677",0.503654677687548
"678",2.85478110259464
"679",2.12698217212176
"680",1.09931163318664
"681",2.02616941512865
"682",1.34324839885024
"683",2.62316227793673
"684",3.3820300522979
"685",7.5149950575726
"686",0.434171112839962
"687",3.37046410788446
"688",0.767093652495998
"689",4.02473641622086
"690",1.3217891825795
"691",3.34565707068772
"692",2.23268236388813
"693",0.650254943093538
"694",2.30291844237392
"695",1.30316914468045
"696",0.822840994439166
"697",3.47827913135191
"698",4.66272698379496
"699",3.72301238072053
"700",0.816541123812921
"701",4.20124364896133
"702",0.771043739721357
"703",1.70232786025626
"704",1.33372239047957
"705",0.606669025701236
"706",1.8220555839882
"707",0.347787977553132
"708",2.90088297281586
"709",1.18549802124148
"710",0.849435441948084
"711",1.64461384098657
"712",1.56506307226751
"713",1.69241861027729
"714",0.538907054785584
"715",5.02147081922486
"716",1.4939150924939
"717",1.80179695665819
"718",4.22851829393904
"719",2.53998121930867
"720",1.68263726009988
"721",4.38968211124035
"722",0.706163866929656
"723",3.94564236104544
"724",0.612237499688984
"725",1.52173813047126
"726",2.107204501602
"727",1.1473729397439
"728",0.741324709981798
"729",2.33519684200555
"730",2.00609607769605
"731",0.952559004498832
"732",4.61217655289956
"733",0.47784243271605
"734",0.92066954967114
"735",0.823707580181817
"736",0.342140801175178
"737",4.03052677742386
"738",1.01482046725245
"739",4.82153472624667
"740",2.77161661567158
"741",1.67931290177589
"742",0.998375356162459
"743",3.21605962711081
"744",2.40581695622307
"745",2.11755334332335
"746",3.55369643484228
"747",2.13500050886773
"748",1.32851905366934
"749",4.89945231265109
"750",1.97471943654154
"751",1.37986408090314
"752",2.01297753762732
"753",1.59358683705936
"754",1.7872544332972
"755",2.44014792601279
"756",2.44680586465186
"757",2.66260143931999
"758",0.599331514617164
"759",1.9862164229753
"760",1.37134664539538
"761",2.03267166304148
"762",5.65276681156134
"763",0.794429704746495
"764",1.15481263901807
"765",2.28283211422403
"766",1.89782352465722
"767",1.60694610845331
"768",0.546687449978725
"769",1.23597721859788
"770",1.9165653006296
"771",1.09118691922006
"772",1.73604906730755
"773",4.0965850975639
"774",4.41529008648311
"775",6.45306018607525
"776",3.158216427499
"777",0.839126098162016
"778",1.76745355321879
"779",1.15240963680739
"780",1.58721087340978
"781",2.39315804406592
"782",1.23092838502262
"783",0.730838099871067
"784",1.18992024923439
"785",4.5462530519667
"786",4.14034941621551
"787",2.38442555244832
"788",0.382349424931623
"789",0.555316156172014
"790",1.37629661992
"791",1.80898124888261
"792",1.48871073472259
"793",0.795860927440954
"794",2.47145750068333
"795",3.48288180307058
"796",1.03163190030674
"797",0.741887373569897
"798",1.70186226021256
"799",1.00158924008907
"800",1.90342903864553
"801",2.65400986464015
"802",2.35052749757685
"803",1.71069658286104
"804",0.9935806031088
"805",0.683710404153283
"806",1.05621003258965
"807",1.3378360755145
"808",2.35905304992062
"809",0.902519522663786
"810",1.84328424592485
"811",1.36805219077025
"812",3.49699244303275
"813",2.38714812663786
"814",1.75480695357281
"815",0.592182549594562
"816",3.65133730444236
"817",2.45335860324169
"818",2.44988415594763
"819",1.66207184877519
"820",0.797732027332414
"821",3.06470338157267
"822",1.8810259027747
"823",1.73839111897136
"824",1.83567112666349
"825",1.09981442894432
"826",4.27211257973052
"827",3.00302790604809
"828",1.86254449172059
"829",3.02262125078174
"830",4.34592542854398
"831",0.870168027613923
"832",1.9828995658018
"833",3.37723253383695
"834",0.653826110310787
"835",1.24245914341634
"836",2.30281502513547
"837",1.56092990087245
"838",1.26664006056161
"839",2.22723884574569
"840",1.32136155832956
"841",0.62266851765016
"842",0.790280653619487
"843",1.19240914805068
"844",3.7409352288926
"845",2.60188452300627
"846",2.5068945129835
"847",0.991594494677823
"848",3.75000981920021
"849",1.07903057495525
"850",2.55096608104155
"851",1.86816220632157
"852",1.59386627282575
"853",1.06826368718178
"854",0.656567775770096
"855",1.51731708509862
"856",1.47925637282193
"857",1.55952787921706
"858",1.83981898853439
"859",0.661074852672663
"860",2.48964641655289
"861",1.58304880091631
"862",0.9433437018942
"863",2.42596702827568
"864",2.92805254408751
"865",0.744552678252302
"866",3.82432058670515
"867",1.56306773794745
"868",0.810957552717035
"869",1.40937299492751
"870",3.27353150280155
"871",2.61375395866742
"872",3.55988507483235
"873",0.348034645671212
"874",1.52608174811066
"875",1.42212245377807
"876",2.204929658287
"877",2.3284935422111
"878",4.36504969369955
"879",1.97824268134773
"880",1.8795417356908
"881",3.86389841613734
"882",4.50730839141437
"883",3.21757194130007
"884",2.19220264679387
"885",4.04859759742754
"886",4.43627907169281
"887",0.797452806538801
"888",5.58852641412916
"889",2.37451572624367
"890",2.42110444765989
"891",1.7414914685236
"892",1.50522883292433
"893",0.578907961373566
"894",1.91951178623404
"895",1.81154914820376
"896",0.721582406043584
"897",2.70722659766063
"898",2.92531475314079
"899",2.50461998267122
"900",1.71239476161057
"901",2.45582353309295
"902",1.2747474691952
"903",0.803870434348277
"904",6.42055384530408
"905",1.37251299442509
"906",1.78693660315948
"907",0.330268459384246
"908",0.501927564901974
"909",3.77348794895111
"910",0.425537600075654
"911",1.33707372812005
"912",7.6008458175736
"913",1.30178096339496
"914",4.03913942827657
"915",1.4553387572033
"916",1.07653677812518
"917",0.779146965276666
"918",1.45716733973624
"919",1.88277083235411
"920",0.804314932827804
"921",0.470171576596456
"922",1.23138017612464
"923",2.06449009765054
"924",2.39566806916013
"925",4.20289380961054
"926",2.92882037263216
"927",1.15777418376474
"928",1.37987159297573
"929",1.49020570003079
"930",0.512748585975156
"931",0.911113654370543
"932",3.60371251600416
"933",1.1185558834931
"934",0.54032429511693
"935",3.10351918948596
"936",3.39710892937033
"937",1.23137065560551
"938",1.19520765011779
"939",3.72603685649042
"940",0.404503201660775
"941",1.03839776241514
"942",2.20306377015511
"943",4.2343283035793
"944",2.43144536418887
"945",0.612077796656773
"946",1.75404707167973
"947",7.04948038901323
"948",0.951092167586876
"949",10.4220614052868
"950",2.50755386070523
"951",2.81486945835965
"952",1.75467887405977
"953",1.09454168373478
"954",5.62609972276393
"955",3.86730620238528
"956",3.16073789869287
"957",1.73836083044306
"958",1.81900240517632
"959",1.72299643856279
"960",7.53506071237107
"961",0.921896224081971
"962",5.81857827478869
"963",3.12560465264696
"964",4.6961533335955
"965",1.70090146991561
"966",1.39356657343565
"967",0.566240695164577
"968",0.956656019973258
"969",5.16020250884954
"970",3.72525332768397
"971",1.8615000945366
"972",2.51915014934075
"973",1.73101185380735
"974",3.4138758187435
"975",2.85544137976257
"976",2.63226177662503
"977",1.5148648078544
"978",2.36965003410782
"979",1.2888366086639
"980",2.03252212652165
"981",6.78744913752692
"982",7.82590880424598
"983",1.79590960157239
"984",5.04730147014942
"985",3.25955280514542
"986",1.53836960343079
"987",2.17233626380233
"988",0.428515628747496
"989",0.600749104689408
"990",1.92238999435692
"991",2.92460369763871
"992",0.989831335480831
"993",2.36885045270409
"994",1.00227155841137
"995",1.41560817279028
"996",1.08881046365878
"997",3.60352409082591
"998",1.83286194086764
"999",3.99507204983401
"1000",0.711346057671805
"1001",1.98536873476395
"1002",0.996514475029812
"1003",0.389613193396543
"1004",0.875418906034806
"1005",3.23582573431703
"1006",1.79045339100599
"1007",1.63926711155772
"1008",4.72610190649628
"1009",6.52423198070871
"1010",1.57709675179396
"1011",1.36745580253311
"1012",1.29570295474
"1013",3.63399571020283
"1014",4.32547929116959
"1015",1.21681625296755
"1016",0.800869753157679
"1017",1.09067796651364
"1018",2.29779309726216
"1019",1.36560929540115
"1020",6.73287772597373
"1021",2.53960742504661
"1022",0.768309434911001
"1023",3.53870122865751
"1024",2.04115923357745
"1025",0.998335572261083
"1026",1.05167860136246
"1027",4.57021419303652
"1028",1.23409992332976
"1029",3.46402107135226
"1030",5.02452845928754
"1031",1.08946880347314
"1032",3.22737963723797
"1033",0.821431328321344
"1034",0.462615258555248
"1035",7.2324616432728
"1036",4.63901937663142
"1037",1.91472634145535
"1038",2.60516134431365
"1039",1.6000363000959
"1040",0.469085523325074
"1041",1.23487406607929
"1042",0.636845219550224
"1043",5.43521854754245
"1044",2.88278638006196
"1045",1.00110676849768
"1046",1.57429998823478
"1047",2.32566412423207
"1048",0.479607638573259
"1049",5.91321040428371
"1050",0.562563888354192
"1051",2.14504261700695
"1052",2.04642933211575
"1053",0.95300065279256
"1054",1.79857356121585
"1055",1.02173808791622
"1056",1.0981022539911
"1057",4.32273565370525
"1058",6.5591443549033
"1059",2.4880942560075
"1060",3.41747172342798
"1061",1.63906037274965
"1062",6.52288547063297
"1063",0.574828782285041
"1064",2.18486494483271
"1065",6.76990088828063
"1066",2.82096042581113
"1067",0.58764704272501
"1068",0.490489508478409
"1069",1.00478843237422
"1070",1.31262666183685
"1071",5.22606186857612
"1072",2.15532289301951
"1073",6.09887261512351
"1074",1.15954177679346
"1075",0.880781657534975
"1076",1.47171181644096
"1077",1.22566269294771
"1078",1.32273299644522
"1079",1.17513219172099
"1080",2.73286318753297
"1081",0.505825175147198
"1082",0.977665451514233
"1083",1.06807797108104
"1084",3.83981242851855
"1085",0.928098361926012
"1086",2.04754859752327
"1087",2.24488024011364
"1088",0.829683097335898
"1089",3.2905749652717
"1090",2.97386322957586
"1091",0.718903900335898
"1092",3.56555408824025
"1093",1.75822391114945
"1094",0.304335284960291
"1095",1.27424152900031
"1096",2.12745293024652
"1097",0.685300158496054
"1098",1.88910336584927
"1099",1.34067474462858
"1100",0.826856891697382
"1101",5.34762374487099
"1102",0.887953822868441
"1103",2.78270371603882
"1104",8.67194573039214
"1105",2.86214448614548
"1106",3.41425719041114
"1107",1.49404817744073
"1108",1.40973120288485
"1109",3.43553178514031
"1110",4.1719103561629
"1111",2.12820810275397
"1112",4.43082112549886
"1113",1.42191424938346
"1114",0.775318867304129
"1115",1.92197239884043
"1116",0.65444303792525
"1117",3.43494914913939
"1118",4.1785148980909
"1119",3.22883640603491
"1120",0.805665846229089
"1121",0.78602575939656
"1122",0.748544396427016
"1123",0.880299168050104
"1124",2.73660162650534
"1125",1.40692207376725
"1126",0.980674128824475
"1127",3.30577957062681
"1128",2.59718246777284
"1129",2.21716277290877
"1130",3.66654992864134
"1131",4.18640810033871
"1132",1.40344222317473
"1133",2.65902679426352
"1134",0.843412045397157
"1135",3.09713835570479
"1136",0.783651432768855
"1137",0.863057498650523
"1138",4.16407541460372
"1139",2.23691533339791
"1140",1.64596907433999
"1141",5.46314505105457
"1142",1.98279131888364
"1143",2.16858597669724
"1144",1.79215038199054
"1145",1.12287878399151
"1146",1.29538730507646
"1147",4.39299921422202
"1148",0.454148744853246
"1149",0.815295363994769
"1150",1.74401870463695
"1151",1.09821046604969
"1152",2.32678609846585
"1153",3.73807176323506
"1154",1.83535171352748
"1155",0.598672414433157
"1156",2.35489774659618
"1157",1.9952097381242
"1158",3.7408686542594
"1159",0.786328275712841
"1160",2.01924474951582
"1161",3.45401782164952
"1162",0.818760146031062
"1163",0.628891456042127
"1164",2.78476661876259
"1165",4.37602722746189
"1166",7.84400699674354
"1167",2.97967980652989
"1168",2.61151703686334
"1169",0.514221280056732
"1170",2.7077287921888
"1171",2.50777362902071
"1172",0.399183752290425
"1173",1.87117220551417
"1174",1.13164203951131
"1175",1.13430546948948
"1176",2.50598869604887
"1177",2.10408506575934
"1178",1.15619945147305
"1179",3.31890697961246
"1180",1.58112781294472
"1181",1.46591878400653
"1182",2.12060229184059
"1183",3.2965292394229
"1184",1.58275150520822
"1185",5.35068465947065
"1186",1.20423522773422
"1187",0.614742197791591
"1188",1.17518642763326
"1189",0.55227177731351
"1190",0.789145737969501
"1191",3.50055994517182
"1192",1.11391702549082
"1193",4.43806451645863
"1194",1.61211066264755
"1195",4.46012157239574
"1196",0.598929489199451
