"","V1","V2"
"1","BU00030000","0.654434675699655"
"2","BU00030001","0.457779477862138"
"3","BU00030002","0.497089094509092"
"4","BU00030007","0.51071540465946"
"5","BU00030008","0.598139926033074"
"6","BU00030009","0.466640580552292"
"7","BU00050000","0.47840590624748"
"8","BU00050001","0.38702783223296"
"9","BU00050002","0.523383339690394"
"10","BU00050003","0.392731619731948"
"11","BU00050004","0.618232715405178"
"12","BU00050005","0.43237591472659"
"13","BU00050006","0.750199812478007"
"14","BU00050007","0.388684386270651"
"15","BU00070000","0.780301176238079"
"16","BU00070001","0.697384955127557"
"17","BU00070002","0.486750764530421"
"18","BU00070004","0.525470772435117"
"19","BU00070005","0.718483744728073"
"20","BU00070006","0.40032076544236"
"21","BU00070007","0.478181378610787"
"22","BU00070008","0.527097928125992"
"23","BU00070009","0.340054513738365"
"24","BU00070100","0.539428245843313"
"25","BU00070101","0.392715909191623"
"26","BU00070108","0.434481945016999"
"27","BU00070109","0.398953713641167"
"28","BU00070200","0.674726188873348"
"29","BU00070201","0.524346873618699"
"30","BU00070202","0.665022026027595"
"31","BU00070203","0.574688972442673"
"32","BU00070204","0.697265850641388"
"33","BU00070206","0.382775474244138"
"34","BU00070207","0.434154997631089"
"35","BU00070208","0.407231966762156"
"36","BU00070209","0.659182897977211"
"37","BU00090000","0.494935481262318"
"38","BU00090001","0.523027523238031"
"39","BU00090002","0.553878155314425"
"40","BU00090003","0.412461049841181"
"41","BU00090005","0.39549734532036"
"42","BU00090009","0.386008776880272"
"43","BU00090100","0.507396402334901"
"44","BU00090101","0.594417030627184"
"45","BU00090102","0.623215495503886"
"46","BU00090104","0.68101361305107"
"47","BU00090106","0.492569010043907"
"48","BU00090109","0.424632118195347"
"49","BU00100000","0.740087316779135"
"50","BU00100001","0.815537743677268"
"51","BU00100002","0.628244216140817"
"52","BU00100003","0.774331609153639"
"53","BU00100004","0.696772712525034"
"54","BU00100005","0.714710521381092"
"55","BU00100103","0.677289459181562"
"56","BU00100104","1.16813220735536"
"57","BU00100107","0.493656798590861"
"58","BU00100108","0.712081113910843"
"59","BU00100109","0.561866921370556"
"60","BU00100200","0.531382154762573"
"61","BU00100201","0.62627392570653"
"62","BU00100202","0.604487234258651"
"63","BU00100203","0.556844756513641"
"64","BU00100205","0.585506437844271"
"65","BU00100207","0.426459633239635"
"66","BU00100209","0.381181034501239"
"67","BU00100300","0.652969441156224"
"68","BU00100301","0.539427104423927"
"69","BU00100302","0.52362471437322"
"70","BU00100303","1.04485383977658"
"71","BU00100304","0.500331204345909"
"72","BU00100305","0.463122071951386"
"73","BU00100309","0.395743291094735"
"74","BU00140000","1.513401090572"
"75","BU00140001","1.16069752694316"
"76","BU00140002","0.692835746234984"
"77","BU00140003","0.958085539157915"
"78","BU00140004","1.00436569144229"
"79","BU00140100","0.831064165819135"
"80","BU00140101","0.739822225912802"
"81","BU00140102","0.571036679208788"
"82","BU00140103","0.570285687038541"
"83","BU00140104","0.610435854576588"
"84","BU00140105","0.676696338330092"
"85","BU00140106","0.58847558225051"
"86","BU00140200","0.649586781753182"
"87","BU00140201","0.640195380209795"
"88","BU00140202","0.52506774374655"
"89","BU00140203","0.632751424621081"
"90","BU00140204","0.755740742805612"
"91","BU00140205","0.807470783034659"
"92","BU00140206","0.779079580627194"
"93","BU00140207","0.553110116817007"
"94","BU00140300","0.592780679251383"
"95","BU00140301","0.560130838051795"
"96","BU00140302","0.510235388013819"
"97","BU00140303","0.62395681967091"
"98","BU00140400","0.721251434556175"
"99","BU00140401","0.689445553274537"
"100","BU00140402","0.400278462476027"
"101","BU00140403","0.627039774896438"
"102","BU00140404","0.724795185254637"
"103","BU00140500","0.700377399301106"
"104","BU00140501","0.745327785417978"
"105","BU00140502","0.635077043208111"
"106","BU00140503","0.674809874371444"
"107","BU00140504","0.550484240339132"
"108","BU00140505","0.865390486416452"
"109","BU00140509","1.0403552968618"
"110","BU00140600","1.08137097679959"
"111","BU00140601","0.795671248080518"
"112","BU00140602","1.00551901041968"
"113","BU00140603","0.983873503319727"
"114","BU00140604","1.06816408207344"
"115","BU00140605","0.856638335870937"
"116","BU00140606","0.590104073857503"
"117","BU00140607","0.529381415916692"
"118","BU00140608","1.2994945050215"
"119","BU00140609","0.35334634750536"
"120","BU00140700","0.696259560578791"
"121","BU00140701","0.71103521804052"
"122","BU00140702","0.669078045683547"
"123","BU00140703","0.725855559119167"
"124","BU00140704","0.738521456449062"
"125","BU00140705","0.838958675838981"
"126","BU00140709","0.409814408502227"
"127","BU00140800","0.561373818258562"
"128","BU00140801","0.528907177438901"
"129","BU00140802","0.523623262588699"
"130","BU00140803","0.460311772335948"
"131","BU00140804","0.465073682229771"
"132","BU00140805","0.614381659231207"
"133","BU00140806","0.661325268836385"
"134","BU00140807","0.50004259858255"
"135","BU00140900","0.758995009497915"
"136","BU00140901","0.550665620651541"
"137","BU00140902","0.481409656852577"
"138","BU00140903","0.531386518750223"
"139","BU00140904","1.06056617692361"
"140","BU00140905","0.504023785693864"
"141","BU00140906","0.557817633457685"
"142","BU00140907","0.654887871694686"
"143","BU00140908","0.504764018617607"
"144","BU00150000","0.451871936356013"
"145","BU00150001","0.421564033782757"
"146","BU00150002","0.45544613763452"
"147","BU00150006","0.438261060258986"
"148","BU00150007","0.418750914927788"
"149","BU00150008","0.441778927659242"
"150","BU00150009","0.420656399343888"
"151","BU00150100","0.614783532928218"
"152","BU00150109","0.413747269742113"
"153","BU00150200","0.568284238753816"
"154","BU00150201","0.479691361171771"
"155","BU00150202","0.530956437218953"
"156","BU00150209","0.472250578904246"
"157","BU00150300","0.523331561727464"
"158","BU00150301","0.446175029467883"
"159","BU00150309","0.414106858433319"
"160","BU00170000","0.65940712161924"
"161","BU00170001","0.523082249413095"
"162","BU00170002","1.24339662808091"
"163","BU00170003","1.01546511774716"
"164","BU00170004","0.860517177310962"
"165","BU00170005","0.908965243677167"
"166","BU00170100","0.913585891596706"
"167","BU00170101","0.728399236291371"
"168","BU00170102","1.28576535409678"
"169","BU00170103","0.79178689655537"
"170","BU00170106","0.650362409986838"
"171","BU00170107","1.08324330682709"
"172","BU00170108","0.731373540476605"
"173","BU00170109","0.413176887244534"
"174","BU00180101","0.631212749351885"
"175","BU00180102","0.564522941670826"
"176","BU00180103","0.557896311464994"
"177","BU00180104","0.395395702514153"
"178","BU00180105","0.463906063626321"
"179","BU00180106","0.515474087535054"
"180","BU00180107","0.671390262659547"
"181","BU00180201","0.430187527239962"
"182","BU00180202","0.873707056090771"
"183","BU00180203","0.535419282149295"
"184","BU00180204","0.63853282221819"
"185","BU00180205","0.470348007290292"
"186","BU00180206","0.385061928907916"
"187","BU00180207","0.450432560710205"
"188","BU00180208","0.412356982136465"
"189","BU00180209","0.573572738649126"
"190","BU00180210","0.527038244887132"
"191","BU00180301","0.561224347846025"
"192","BU00180302","0.470207168868289"
"193","BU00180303","0.491694849807728"
"194","BU00180304","0.636740867419743"
"195","BU00180305","0.417862891133814"
"196","BU00180306","0.583087420213606"
"197","BU00180501","0.486419828544154"
"198","BU00180502","0.370524657870836"
"199","BU00180601","0.353828082123252"
"200","BU00180602","0.368167283022268"
"201","BU00180603","0.521989688749376"
"202","BU00180604","0.349831886981687"
"203","BU00180605","0.468253547299649"
"204","BU00180606","0.762058475306963"
"205","BU00180701","0.441845766037736"
"206","BU00180702","0.928192410192172"
"207","BU00180801","0.559690085705547"
"208","BU00180802","0.416838020076238"
"209","BU00180803","0.783138678367199"
"210","BU00180804","0.571921312193384"
"211","BU00180901","0.90184669686272"
"212","BU00181101","0.49866277046829"
"213","BU00181102","0.615729432841007"
"214","BU00181103","0.491830664429186"
"215","BU00181104","0.382002748510602"
"216","BU00181105","0.490583735753533"
"217","BU00181106","0.534250332450166"
"218","BU00181107","0.48869688584746"
"219","BU00181108","0.562588089883434"
"220","BU00181109","0.406475257430993"
"221","BU00220001","0.456555721969537"
"222","BU00220002","0.618970554684003"
"223","BU00220003","0.439417408824281"
