"","BU_CODE","slope_angle"
"0","BU00030000",0.0422097246321235
"1","BU00030001",0.054208301855075
"2","BU00030002",0.0451527996396293
"3","BU00030007",0.0622336615912548
"4","BU00030008",0.0619974567045528
"5","BU00030009",0.0319208536407235
"6","BU00050000",0.076382663352419
"7","BU00050001",0.0348923435376141
"8","BU00050002",0.0310899294397078
"9","BU00050003",0.0258958702817077
"10","BU00050004",0.0310899294397078
"11","BU00050005",0.0264368210860398
"12","BU00050006",0.0539279608202224
"13","BU00050007",0.0242323697913676
"14","BU00070000",0.106410436447811
"15","BU00070001",0.0749153291588632
"16","BU00070002",0.0343737669319592
"17","BU00070004",0.069402065903009
"18","BU00070005",0.0150345924376633
"19","BU00070006",0.0787963024950174
"20","BU00070007",0.0611793399024944
"21","BU00070008",0.0322230542235155
"22","BU00070009",0.0412726831283446
"23","BU00070100",0.0184179947107955
"24","BU00070101",0.0373433318416426
"25","BU00070108",0.0481305145275299
"26","BU00070109",0.0182975558224449
"27","BU00070200",0.0553032535918087
"28","BU00070201",0.0929800453312145
"29","BU00070202",0.0268490315000217
"30","BU00070203",0.0256944315332119
"31","BU00070204",0.0831583616151875
"32","BU00070206",0.0298095860051
"33","BU00070207",0.0585220071156055
"34","BU00070208",0.047544203427807
"35","BU00070209",0.0572431458570443
"36","BU00090000",0.0444110093498793
"37","BU00090001",0.0153037189682148
"38","BU00090002",0.0395014258393212
"39","BU00090003",0.0381014726249457
"40","BU00090005",0.0202050039563545
"41","BU00090009",0.0300771828825729
"42","BU00090100",0.0466348884382733
"43","BU00090101",0.0395384804772869
"44","BU00090102",0.0266526665895059
"45","BU00090104",0.028400800072187
"46","BU00090106",0.0316238720333603
"47","BU00090109",0.0300533968891075
"48","BU00100000",NA
"49","BU00100001",0.0391027173145314
"50","BU00100002",NA
"51","BU00100003",0.018969754030338
"52","BU00100004",0.0395533286151242
"53","BU00100005",0.050917904541374
"54","BU00100103",0.0150732481739326
"55","BU00100104",NA
"56","BU00100107",0.0526675932527323
"57","BU00100108",NA
"58","BU00100109",NA
"59","BU00100200",0.0870920580270731
"60","BU00100201",0.0533126418909851
"61","BU00100202",NA
"62","BU00100203",NA
"63","BU00100205",0.0898881577593848
"64","BU00100207",0.0522747943989015
"65","BU00100209",NA
"66","BU00100300",0.0150970602777579
"67","BU00100301",0.03200608938697
"68","BU00100302",0.015544965864112
"69","BU00100303",0.0258800452141859
"70","BU00100304",0.0150970602777579
"71","BU00100305",3.10601043111672e-18
"72","BU00100309",NA
"73","BU00140000",0.137137766512415
"74","BU00140001",0.150557380648835
"75","BU00140002",0.183658831652767
"76","BU00140003",0.144353701039372
"77","BU00140004",0.147625745601965
"78","BU00140100",0.159876747977196
"79","BU00140101",0.126690527553322
"80","BU00140102",0.0674440362352862
"81","BU00140103",0.114610872553991
"82","BU00140104",0.0498250821202776
"83","BU00140105",0.0301163377662821
"84","BU00140106",0.0606901897784792
"85","BU00140200",0.155973189406388
"86","BU00140201",0.107089630693028
"87","BU00140202",0.0740686112303397
"88","BU00140203",0.104341697204355
"89","BU00140204",0.0515886666754224
"90","BU00140205",0.0843908611036223
"91","BU00140206",0.0482698702562122
"92","BU00140207",0.0467706857185432
"93","BU00140300",0.0532955834091579
"94","BU00140301",0.0932928844151055
"95","BU00140302",0.163785968215112
"96","BU00140303",0.147028064616653
"97","BU00140400",0.188174255297284
"98","BU00140401",0.0951406291547492
"99","BU00140402",0.0845488089468291
"100","BU00140403",0.0602326588911217
"101","BU00140404",0.0982731387946163
"102","BU00140500",0.205644539022111
"103","BU00140501",0.0734615759143769
"104","BU00140502",0.0842535363740676
"105","BU00140503",0.0818699104054321
"106","BU00140504",0.0446197991948063
"107","BU00140505",0.085724656345518
"108","BU00140509",0.035253002375021
"109","BU00140600",0.124564252240733
"110","BU00140601",0.147844011692867
"111","BU00140602",0.225734987239666
"112","BU00140603",0.313150198197064
"113","BU00140604",0.0559133631155044
"114","BU00140605",0.226393051652072
"115","BU00140606",0.212982550392097
"116","BU00140607",0.196669360772904
"117","BU00140608",0.20847120240369
"118","BU00140609",0.205609177385611
"119","BU00140700",0.0982408948410887
"120","BU00140701",0.150516912837072
"121","BU00140702",0.0792934481189592
"122","BU00140703",0.049861992960929
"123","BU00140704",0.062469394553008
"124","BU00140705",0.0932086917372664
"125","BU00140709",0.0593831014233316
"126","BU00140800",0.0336579133833658
"127","BU00140801",0.0556464184119243
"128","BU00140802",0.0278391536392572
"129","BU00140803",0.0384386061969612
"130","BU00140804",0.0427697667295695
"131","BU00140805",0.0543370558594058
"132","BU00140806",0.0674461704525541
"133","BU00140807",0.0306633014977452
"134","BU00140900",0.0304408669373035
"135","BU00140901",0.083800983437965
"136","BU00140902",0.0695502502159261
"137","BU00140903",0.054039245929846
"138","BU00140904",0.0475490574571198
"139","BU00140905",0.0547782205215333
"140","BU00140906",0.0369803469465088
"141","BU00140907",0.0334276031497056
"142","BU00140908",0.068289188924573
"143","BU00150000",0.0560747852020557
"144","BU00150001",0.0190798774538073
"145","BU00150002",0.0638918359697761
"146","BU00150006",0.033963205797312
"147","BU00150007",0.04492548841304
"148","BU00150008",0.0391819313241573
"149","BU00150009",0.0463558251219975
"150","BU00150100",0.0150603204063571
"151","BU00150109",0.0302450764716074
"152","BU00150200",0.0621798405712983
"153","BU00150201",0.0937885418860949
"154","BU00150202",0.0257309096811601
"155","BU00150209",0.0352592683995963
"156","BU00150300",0.0544591808283447
"157","BU00150301",0.0397977250614652
"158","BU00150309",0.0390881383320549
"159","BU00170000",0.161573117844019
"160","BU00170001",0.0870044355829392
"161","BU00170002",0.12561717451434
"162","BU00170003",0.132971050091477
"163","BU00170004",0.116038855869522
"164","BU00170005",0.190562759820669
"165","BU00170100",0.230370258777096
"166","BU00170101",0.14352163214002
"167","BU00170102",0.146984143052375
"168","BU00170103",0.143811037266564
"169","BU00170106",0.0915976781984322
"170","BU00170107",0.215869254377754
"171","BU00170108",0.146559838136189
"172","BU00170109",0.0547893787619624
